id,latitude,longitude
39853,33.459826,-112.284168
39854,33.286316,-111.791107
39855,34.54217,-114.35287
39856,33.385361,-111.695062
39857,33.434313,-111.872266
39858,33.636921,-112.253682
39859,33.509862,-112.054162
39860,33.605183,-112.420442
39861,33.639038,-112.108088
39862,33.635224,-111.915739
39863,33.346812,-111.967793
39864,32.289823,-110.985646
39865,32.207374,-110.881798
39870,38.007799,-121.832042
39871,35.310723,-119.035324
39872,33.865497,-117.995215
39873,33.824968,-118.245675
39874,33.78414,-116.471
39875,33.861544,-118.100471
39876,39.756332,-121.843715
39877,33.997621,-117.928216
39878,36.836818,-119.717629
39879,37.671267,-122.463541
39880,37.980192,-122.050128
39881,33.88309,-117.615292
39882,33.675397,-117.918684
39883,38.55252,-121.691555
39884,33.9473,-118.151166
39885,34.136553,-117.975944
39886,32.795896,-116.976156
39887,34.069536,-118.026911
39888,38.402217,-121.385527
39889,33.116492,-117.106837
39890,40.800562,-124.164405
39891,38.634132,-121.204871
39892,34.135345,-117.445732
39893,37.489389,-121.9576
39894,36.818622,-119.789796
39895,33.766376,-117.968337
39896,33.889201,-118.307028
39897,36.996869,-121.558573
39898,34.137054,-118.25536
39899,34.43427,-119.820934
39901,37.662305,-122.075178
39902,33.741163,-117.031718
39903,33.71069,-117.989861
39904,33.632505,-117.723298
39905,33.70711,-116.283712
39906,34.035168,-118.273229
39907,34.133446,-118.356601
39908,37.305891,-120.502428
39910,34.269809,-118.466606
39911,37.705119,-120.99471
39912,34.082404,-117.694876
39913,34.065387,-117.212007
39914,38.292706,-122.277767
39915,32.659001,-117.100836
39916,33.181953,-117.298334
39917,33.80857,-117.864434
39918,34.22771,-119.150217
39919,34.591173,-118.138184
39920,38.267202,-122.665068
39921,32.956772,-117.025943
39922,40.571632,-122.36654
39923,37.495963,-122.227322
39925,37.985253,-122.32124
39926,33.941878,-117.297603
39927,33.925469,-117.419673
39928,38.752198,-121.256452
39929,38.631393,-121.396604
39930,36.720023,-121.662519
39931,34.074378,-117.298
39932,32.833179,-117.147384
39933,32.802475,-117.215269
39934,37.359362,-122.022783
39935,37.275144,-121.877656
39936,33.47443,-117.676142
39937,37.712609,-122.162746
39938,35.25062,-120.68455
39939,37.323569,-121.988027
39943,38.425537,-122.714089
39944,36.611189,-121.849899
39945,34.168824,-118.449059
39947,34.277324,-118.778957
39948,38.022022,-121.275339
39949,33.516768,-117.155039
39951,37.75990555387505,-121.4632051865082
39952,33.72484,-117.799302
39953,38.381441,-121.941218
39954,34.420546,-118.557774
39955,38.118088,-122.255493
39956,34.517883,-117.3219
39957,36.32327,-119.27569
39959,34.074227,-117.890899
39962,27.462023,-82.578036
39963,28.848733,-82.57947
39964,28.983689,-81.300079
39965,26.435016,-80.072333
39966,26.109825,-80.137099
39967,30.288306,-81.730832
39968,30.212415,-81.736209
39969,30.18082,-82.702224
39970,25.783121,-80.366772
39971,25.9262,-80.292105
39972,25.76506,-80.250516
39973,25.609391,-80.348241
39974,26.007358,-80.263072
39975,27.485756,-81.481603
39976,27.152729,-80.217708
39978,27.995139,-82.506186
39979,28.049764,-82.458596
39980,27.585356,-80.376442
39981,26.713894,-80.05421
39982,27.982961,-81.676059
39983,34.075281,-83.98366
39985,33.907866,-84.283186
39986,33.967935,-84.146036
39988,33.841932,-83.905677
39989,33.784015,-84.612737
39990,33.92909,-84.50889
39991,33.566938,-84.344405
39992,34.022437,-84.327529
39993,33.565412,-84.521117
39994,32.555572,-83.66552
39995,21.335175,-157.88225
39996,20.8891,-156.458605
39997,21.399116,-157.799326
39998,21.42849,-157.998343
40012,39.291785,-76.610539
40018,39.505659,-76.382317
40020,39.256947,-76.730918
40025,39.391175,-77.407835
40026,39.177414,-77.249773
40029,38.82681,-76.923233
40030,39.113757,-77.161016
40033,39.077447,-76.947933
40046,44.946327,-93.095535
40047,44.947042,-93.088226
40053,44.977961,-93.282508
40056,44.973838,-93.156808
40057,44.967593,-93.127742
40063,44.948972,-93.0962
40066,35.392063,-80.622777
40067,35.042419,-78.956747
40068,35.937981,-79.996012
40069,34.634487,-78.997134
40185,32.823912,-117.12114
40248,34.702398,-82.801828
40255,37.578536,-77.48754
40367,39.467032,-119.779038
40372,30.256917,-97.749169
40376,32.779791,-96.7990454
40380,37.1581,-80.4203
40382,37.50418,-77.61949
40383,47.616104,-122.19696
40384,47.61434,-122.194037
40389,43.121878,-89.309902
40390,43.094649,-89.50964
40407,32.82408524,-117.1471252
40444,42.790376,-86.101511
40482,34.848783,-82.401211
40522,34.756982,-82.383799
40565,38.951695,-77.409238
40570,34.840912,-82.400037
40571,34.926241,-82.433164
40572,41.997588,-72.583384
40593,38.899392,-77.024385
40594,26.9322,-80.1027
40596,42.6336,-83.220931
40599,42.395383,-83.074263
40600,42.334321,-83.056903
40601,42.33375168,-83.05662
40602,42.344978,-83.128128
40603,42.33476,-83.0608
40607,42.683212,-83.1366
40608,42.678841,-83.132684
40609,42.682914,-83.193236
40610,42.166498,-83.780162
40613,41.36684,-81.7638
40653,44.520371,-85.991356
40689,39.001676,-76.525253
40697,40.397876,-75.588988
40701,37.578775,-77.489409
40704,42.455,-83.131111
40745,35.772881,-78.638502
40747,35.772619,-78.641492
40751,35.77937,-78.638203
40752,42.187149,-122.689496
40765,45.317487,-122.759692
40775,45.475743,-122.776517
40777,45.43039546782978,-122.5722026653595
40790,33.90999,-84.2914
40794,41.97850582311076,-87.90328000006105
40806,41.99774,-87.864217
40854,36.009999,-78.921405
40940,33.931732,-81.059303
40965,36.379802,-94.177871
40978,28.424816,-81.445089
40979,28.470548,-81.396861
40983,28.429047,-81.44937
40984,28.485994,-81.457176
40996,41.607327,-93.735902
40997,41.00709,-91.981752
40998,41.645933,-93.769432
41006,38.623533,-77.086898
41007,38.369101,-76.960389
41025,42.78875732,-86.10360718
41043,42.292146,-83.178699
41047,38.709309,-90.683128
41049,40.453507,-80.085371
41085,42.219548,-122.740005
41093,25.7703,-80.196621
41096,26.769595,-80.102645
41099,26.932602,-80.118594
41100,26.764076,-80.10151
41101,25.770827,-80.264645
41102,25.833883,-80.313867
41108,37.764986,-77.476715
41121,34.850504,-82.322852
41122,35.105398,-81.208515
41230,38.893647,-76.539373
41237,36.145081,-115.227058
41240,40.867403,-73.906405
41263,34.889277,-82.215666
41264,34.889453,-82.215505
41265,30.251357,-97.689015
41266,30.18534,-97.801184
41269,30.422284,-97.71646
41272,30.268887,-97.738936
41347,37.390383,-122.0827
41352,37.38237,-121.970806
41395,38.447533,-78.870744
41446,45.256075,-94.107832
41483,36.547921,-82.56179
41520,43.002006,-89.423463
41524,43.074008,-89.397267
41525,43.058323,-89.410359
41526,35.279705,-120.6609
41553,35.92353,-78.599883
41579,47.604115,-122.332907
41581,38.7566,-77.793511
41758,45.475962,-122.825561
41772,38.889751,-77.08499
41773,38.803836,-77.516487
41776,47.434021,-122.273183
41779,47.22213,-122.478493
41800,26.642789,-81.869132
41809,28.463514,-81.461419
41810,28.503733,-81.422651
41814,27.951258,-82.451781
